Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"2,6-Dimethoxyquinone",68262,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,COC1=CC(=O)C=C(C1=O)OC,C8H8O4,168.15,2,4,0,40.08,52.6,1.35,-0.06,0.2,-1.27,0.22,-0.71,High,No,No,No,No,No,No,0,0,0.85,1,No,0.967,No,No,2.039,2.384,No,Yes,-0.836,2.929
"3,4,5,6-Tetradehydrogeissoschizol",134716643,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,CC=C1C[N+]2=C(CC1CCO)C3=C(C=C2)C4=CC=CC=C4N3,C19H21N2O+,293.38,2,1,2,91.78,39.9,-1.01,2.84,3.11,2.7,2.31,-3.75,High,Yes,Yes,No,No,Yes,No,0,0,0.55,0,Yes,-0.284,No,Yes,2.956,0.52,Yes,No,0.923,0.847
"3,4,5-Trimethoxybenzoic acid",8357,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,COC1=CC(=CC(=C1OC)OC)C(=O)O,C10H12O5,212.2,4,5,1,52.88,64.99,1.85,1.45,1.41,0.8,1.36,-2.1,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.587,No,No,2.299,1.928,No,No,0.253,2.163
Ajmalicine,441975,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=CC=CC=C45,C21H24N2O3,352.43,2,4,1,103.47,54.56,3.2,2.75,2.47,2.13,2.67,-3.88,High,Yes,No,No,No,Yes,No,0,0,0.55,1,No,-0.519,No,Yes,2.974,0.431,Yes,No,0.672,-0.641
Ajmalidine,21724884,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,CCC1C2CC3C4C5(CC(C2C5=O)N3C1O)C6=CC=CC=C6N4C,C20H24N2O2,324.42,1,3,1,98.91,43.78,1.83,2.29,1.0,2.58,1.8,-3.41,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,-0.244,No,No,3.033,2.178,Yes,No,0.296,1.176
Ajmalimine,42621393,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,CCC1C2CC3C4C5(CC(C2C5OC(=O)C6=CC(=C(C(=C6)OC)OC)OC)N3C1O)C7=CC=CC=C7N4C,C30H36N2O6,520.62,7,7,1,148.99,80.7,2.58,3.96,2.68,3.05,2.95,-5.33,High,No,No,No,No,Yes,No,1,3,0.55,0,No,-0.296,No,Yes,3.001,1.746,Yes,No,0.285,0.162
Ajmaline,6100671,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C,C20H26N2O2,326.43,1,3,2,99.87,46.94,1.64,1.81,0.79,2.67,1.53,-3.12,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,0.032,No,Yes,3.016,2.258,Yes,No,0.289,1.196
allo-Yohimbine,120716,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,C21H26N2O3,354.44,2,4,2,104.02,65.56,2.79,2.94,1.94,2.21,2.46,-4.01,High,Yes,No,No,No,Yes,No,0,0,0.55,1,No,-1.355,No,Yes,2.942,0.687,No,No,0.339,-0.165
Aricine,251575,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=C4C=C(C=C5)OC,C22H26N2O4,382.45,3,5,1,109.96,63.79,3.5,2.72,2.48,1.8,2.67,-3.96,High,Yes,No,No,No,Yes,No,0,0,0.55,1,No,-0.64,No,Yes,3.038,0.341,Yes,No,0.602,-0.265
Isoajmaline,6325415,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C,C20H26N2O2,326.43,1,3,2,99.87,46.94,1.64,1.81,0.79,2.67,1.53,-3.12,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,0.032,No,Yes,3.016,2.258,Yes,No,0.289,1.196
Isorauhimbine,6452110,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,C21H26N2O3,354.44,2,4,2,104.02,65.56,2.79,2.94,1.94,2.21,2.46,-4.01,High,Yes,No,No,No,Yes,No,0,0,0.55,1,No,-1.355,No,Yes,2.942,0.687,No,No,0.339,-0.165
Isoreserpiline,161345,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=CC(=C(C=C45)OC)OC,C23H28N2O5,412.48,4,6,1,116.46,73.02,3.69,2.69,2.49,1.49,2.65,-4.05,High,Yes,No,No,No,Yes,No,0,0,0.55,1,No,-0.705,No,Yes,3.104,1.484,Yes,No,0.504,-0.048
Methyl reserpate,73532,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)O,C23H30N2O5,414.49,4,6,2,116.41,84.02,3.36,1.92,1.58,1.3,2.06,-3.58,High,No,No,No,No,Yes,No,0,0,0.55,1,No,-0.766,No,Yes,2.93,0.164,Yes,No,0.408,0.549
Norajmaline,24893138,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4,C19H24N2O2,312.41,1,3,3,94.97,55.73,2.21,1.67,0.58,2.44,1.54,-2.96,High,No,No,No,No,Yes,No,0,0,0.55,0,No,-0.458,No,No,2.907,1.057,Yes,No,0.286,1.466
Papaverine,4680,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,C20H21NO4,339.39,6,5,0,97.16,49.81,3.48,2.95,3.86,1.78,3.32,-3.88,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.682,No,Yes,2.329,1.176,Yes,No,0.454,0.16
Raucaffrine,453213,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,CC1C(C2CC3N1C4C2C(C5(C4)C3=NC6=CC=CC=C56)OC(=O)C)C=O,C21H22N2O3,350.41,3,5,0,104.04,58.97,2.43,1.55,1.49,2.21,2.06,-2.96,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,-0.667,No,Yes,3.004,1.417,Yes,No,0.397,0.773
Rauwolscine,643606,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,C21H26N2O3,354.44,2,4,2,104.02,65.56,2.79,2.94,1.94,2.21,2.46,-4.01,High,Yes,No,No,No,Yes,No,0,0,0.55,1,No,-1.355,No,Yes,2.942,0.687,No,No,0.339,-0.165
Rescinnamine,5280954,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C=CC6=CC(=C(C(=C6)OC)OC)OC,C35H42N2O9,634.72,11,10,1,175.23,117.78,4.8,4.47,3.76,1.78,3.88,-6.11,High,No,No,No,Yes,No,No,2,3,0.17,1,No,-0.162,No,Yes,3.081,1.389,No,No,0.286,-0.015
Reserpiline,67228,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,CC1C2CN3CCC4=C(C3CC2C(=CO1)C(=O)OC)NC5=CC(=C(C=C45)OC)OC,C23H28N2O5,412.48,4,6,1,116.46,73.02,3.69,2.69,2.49,1.49,2.65,-4.05,High,Yes,No,No,No,Yes,No,0,0,0.55,1,No,-0.705,No,Yes,3.104,1.484,Yes,No,0.504,-0.048
Reserpine,5770,Sarpagandha,Rauvolfia serpentine,PMID: 12141861,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,C33H40N2O9,608.68,10,10,1,165.52,117.78,4.41,4.04,3.47,1.75,3.52,-5.75,High,No,No,No,No,No,No,2,3,0.17,1,No,-0.133,No,Yes,2.958,1.158,No,No,0.286,0.303
