Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(-)-Kaurene,10901750,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CC1(CCCC2(C1CCC34C2CCC(C3)C(=C)C4)C)C,C20H32,272.47,0,0,0,88.54,0.0,3.74,6.91,5.98,6.84,5.78,-5.88,Low,No,Yes,Yes,Yes,No,No,1,1,0.55,0,No,-0.647,No,Yes,2.144,1.347,No,No,0.528,-0.95
"1,8-cineole",2758,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CC1(C2CCC(O1)(CC2)C)C,C10H18O,154.25,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.67,-2.52,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.553,No,No,2.01,2.029,No,Yes,0.171,1.735
3-Hydroxystigmast-5-en-7-one,160608,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CCC(CCC(C)C1CCC2C1(CCC3C2C(=O)C=C4C3(CCC(C4)O)C)C)C(C)C,C29H48O2,428.69,6,2,1,133.43,37.3,4.56,8.27,7.2,5.7,6.49,-7.31,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.65,No,Yes,2.664,2.351,No,No,0.425,-1.507
Acetyl aleuritolic acid,161616,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CC(=O)OC1CCC2(C(C1(C)C)CCC3(C2CCC4(C3=CCC5(C4CC(CC5)(C)C)C(=O)O)C)C)C,C32H50O4,498.74,3,4,1,146.39,63.6,3.7,8.4,7.8,6.06,6.47,-8.03,Low,No,No,No,Yes,No,No,1,4,0.85,0,No,0.225,No,No,2.226,1.788,No,No,0.285,-3.02
Aleuritic acid,222178,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,C(CCCC(C(CCCCCCO)O)O)CCCC(=O)O,C16H32O5,304.42,15,5,4,84.28,97.99,2.57,2.47,2.47,1.63,2.47,-2.29,High,No,No,No,No,No,No,0,0,0.56,0,No,-0.62,No,No,1.635,1.846,No,Yes,0.411,1.245
alpha-PINENE,6654,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
Alpha-Tocopherol,14985,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,C29H50O2,430.71,12,2,1,139.27,29.46,5.92,10.7,8.84,6.14,8.27,-8.6,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.775,No,Yes,2.072,1.987,No,No,1.017,-3.324
Beta-Sitosterol,222284,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
beta-Tocopherol,6857447,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CC1=CC(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O,C28H48O2,416.68,12,2,1,134.31,29.46,4.94,10.33,8.53,5.94,7.79,-8.29,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.908,No,Yes,1.913,2.379,No,No,1.122,-3.809
Beyerene,107412,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CC1(CCCC2(C1CCC34C2CCC(C3)(C=C4)C)C)C,C20H32,272.47,0,0,0,88.28,0.0,3.75,7.53,5.98,6.84,5.85,-6.27,Low,No,Yes,Yes,Yes,No,No,1,1,0.55,0,No,-0.632,No,Yes,1.916,1.28,No,No,0.776,-0.671
Campesterol,173183,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
Camphene,6616,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CC1(C2CCC(C2)C1=C)C,C10H16,136.23,0,0,0,45.22,0.0,2.58,4.22,3.0,4.29,3.43,-3.34,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.305,No,No,1.554,2.247,No,No,0.533,1.19
Camphor,2537,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CC1(C2CCC1(C(=O)C2)C)C,C10H16O,152.23,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.37,-2.16,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.473,No,No,1.653,1.981,No,Yes,0.233,1.458
Casbene,5280437,Castor,Ricinus communis,DOI: 10.1016/j.indcrop.2016.07.010,CC1=CCCC(=CC2C(C2(C)C)CCC(=CCC1)C)C,C20H32,272.47,0,0,0,92.34,0.0,4.06,5.44,6.45,5.72,5.33,-4.96,Low,No,No,Yes,Yes,No,No,1,1,0.55,0,No,0.088,No,No,1.521,1.184,No,No,1.749,-0.061
