Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Borneol,64685,Garden Sage,Salvia officinalis,PMID: 29034191,CC1(C2CCC1(C(C2)O)C)C,C10H18O,154.25,0,1,1,46.6,20.23,2.29,2.72,2.19,2.45,2.38,-2.51,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.577,No,No,1.707,1.877,No,Yes,0.175,1.727
Camphor,2537,Garden Sage,Salvia officinalis,PMID: 29034191,CC1(C2CCC1(C(=O)C2)C)C,C10H16O,152.23,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.37,-2.16,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.473,No,No,1.653,1.981,No,Yes,0.233,1.458
Caryophyllene,5281515,Garden Sage,Salvia officinalis,PMID: 29034191,CC1=CCCC(=C)C2CC(C2CC1)(C)C,C15H24,204.35,0,0,0,68.78,0.0,3.29,4.38,4.73,4.63,4.24,-3.87,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.351,No,No,1.617,1.416,No,Yes,1.401,0.504
Chlorogenic acid,1794427,Garden Sage,Salvia officinalis,PMID: 29034191,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Cineole,2758,Garden Sage,Salvia officinalis,PMID: 29034191,CC1(C2CCC(O1)(CC2)C)C,C10H18O,154.25,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.67,-2.52,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.553,No,No,2.01,2.029,No,Yes,0.171,1.735
Elemene,6918391,Garden Sage,Salvia officinalis,PMID: 29034191,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C,C15H24,204.35,3,0,0,70.42,0.0,3.37,6.11,4.75,4.53,4.65,-4.76,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.058,No,No,1.535,1.309,No,Yes,1.901,0.118
Ellagic acid,5281855,Garden Sage,Salvia officinalis,PMID: 29034191,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C14H6O8,302.19,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.0,-2.94,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.476,No,No,2.399,2.698,No,No,0.295,2.11
Epigallocatechin gallate,65064,Garden Sage,Salvia officinalis,PMID: 29034191,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,C22H18O11,458.37,4,11,8,112.06,197.37,1.87,1.17,1.91,-0.44,1.01,-3.56,Low,No,No,No,No,No,No,2,0,0.17,1,No,0.441,No,Yes,2.522,3.065,No,No,0.285,7.713
Humulene,5281520,Garden Sage,Salvia officinalis,PMID: 29034191,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
Ledene,10910653,Garden Sage,Salvia officinalis,PMID: 29034191,CC1CCC2=C(CCC3C(C12)C3(C)C)C,C15H24,204.35,0,0,0,67.14,0.0,3.3,4.03,4.42,5.65,4.26,-3.65,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.208,No,No,1.518,1.366,No,No,1.434,0.424
