Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
2-Carene,79044,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC1=CC2C(C2(C)C)CC1,C10H16,136.23,0,0,0,45.22,0.0,2.66,2.85,3.0,4.29,3.12,-2.48,Low,Yes,No,No,No,No,No,1,1,0.55,0,No,0.609,No,No,1.771,2.258,No,No,0.389,1.289
3-Carene,26049,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC1=CCC2C(C1)C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.38,3.0,4.29,3.42,-3.44,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.674,No,No,1.804,2.258,No,No,0.411,1.23
alpha-Bergamotene,6429302,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC1=CCC2CC1C2(C)CCC=C(C)C,C15H24,204.35,3,0,0,68.78,0.0,3.41,6.45,4.73,4.63,4.7,-4.97,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.084,No,No,1.68,1.367,No,Yes,1.562,-0.103
alpha-Bisabolene,86597,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC1=CCC(CC1)C(=CCC=C(C)C)C,C15H24,204.35,3,0,0,70.68,0.0,3.58,6.36,5.04,4.53,4.77,-4.92,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.357,No,No,1.608,1.358,No,Yes,1.843,0.102
alpha-Bisabolol,10586,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC1=CCC(CC1)C(C)(CCC=C(C)C)O,C15H26O,222.37,4,1,1,72.36,20.23,3.46,3.79,4.23,3.56,3.76,-3.34,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.467,No,No,1.739,1.178,No,Yes,1.711,0.555
alpha-PINENE,6654,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
alpha-Santalene,94164,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC(=CCCC1(C2CC3C1(C3C2)C)C)C,C15H24,204.35,3,0,0,66.88,0.0,3.43,5.21,4.42,5.65,4.59,-4.19,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.288,No,No,1.567,1.358,No,No,1.193,0.226
alpha-Terpinene,7462,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC1=CC=C(CC1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.7,4.25,3.31,3.27,3.3,-3.3,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.756,No,No,1.766,2.394,No,No,0.627,0.906
beta-Santalene,10889018,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC(=CCCC1(C2CCC(C2)C1=C)C)C,C15H24,204.35,3,0,0,68.78,0.0,3.35,6.19,4.73,4.63,4.69,-4.81,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,-0.241,No,No,1.494,1.409,No,Yes,1.876,0.051
beta-SANTALOL,6857681,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC(=CCCC1(C2CCC(C2)C1=C)C)CO,C15H24O,220.35,4,1,1,69.94,20.23,3.15,4.94,3.7,3.56,3.86,-4.05,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,-0.352,No,No,1.589,1.24,No,Yes,1.997,0.531
beta-Terpinene,66841,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC(C)C1=CCC(=C)CC1,C10H16,136.23,1,0,0,47.12,0.0,2.72,2.75,3.31,3.27,3.06,-2.35,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.695,No,No,1.734,2.418,No,No,0.637,0.93
Bicyclogermacrene,13894537,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC1=CCCC(=CC2C(C2(C)C)CC1)C,C15H24,204.35,0,0,0,68.78,0.0,3.34,4.14,4.73,4.63,4.15,-3.72,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.334,No,No,1.646,1.386,No,Yes,1.338,0.595
Biformene,157814493,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC(=CCC1C(=C)CCC2C1(CCCC2(C)C)C)C=C,C20H32,272.47,3,0,0,92.08,0.0,3.98,7.19,6.31,5.72,5.84,-5.86,Low,No,No,Yes,Yes,No,No,1,1,0.55,0,No,-0.599,No,Yes,1.844,1.295,Yes,Yes,1.492,-1.06
Bornylene,10047,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC1(C2CCC1(C=C2)C)C,C10H16,136.23,0,0,0,44.96,0.0,2.54,3.56,3.0,4.29,3.23,-2.93,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.498,No,No,1.675,2.246,No,No,0.395,1.278
cis-(Z)-alpha-Bisabolene epoxide,91753574,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC1=CCC(CC1)C2(C(O2)CC=C(C)C)C,C15H24O,220.35,3,1,0,70.17,12.53,3.63,3.81,4.25,3.56,3.91,-3.41,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.33,No,No,1.594,1.095,No,Yes,1.312,0.631
"cis,cis-Farnesol",1549107,Chandan,Santalum album,DOI: 10.1080/0972060X.2018.1486231,CC(=CCCC(=CCCC(=CCO)C)C)C,C15H26O,222.37,7,1,1,73.96,20.23,3.71,5.42,4.4,3.86,4.32,-4.17,High,Yes,Yes,No,Yes,No,No,0,0,0.55,0,No,0.096,No,No,1.558,1.208,No,Yes,2.328,0.1
