Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,2-Dilinoleoyl-3-Oleoyl-Rac-Glycerol",9544291,Sesame,Sesamum indicum ,PMID: 34692642,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCC=CCCCCC)OC(=O)CCCCCCCC=CCC=CCCCCC,C57H100O6,881.4,51,6,0,277.6,78.9,12.56,21.02,17.65,9.33,16.26,-15.18,Low,No,No,No,No,No,No,2,4,0.17,0,No,0.438,No,No,2.585,0.804,No,No,0.285,-13.05
"1,2-Dilinoleoyl-3-Palmitoyl-Rac-Glycerol",9544106,Sesame,Sesamum indicum ,PMID: 34692642,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCC=CCCCCC)OC(=O)CCCCCCCC=CCC=CCCCCC,C55H98O6,855.36,50,6,0,268.46,78.9,11.51,20.87,17.09,9.11,15.72,-14.99,Low,No,No,No,No,No,No,2,4,0.17,0,No,0.436,No,No,2.584,0.712,No,No,0.285,-12.696
Arachidic acid,10467,Sesame,Sesamum indicum ,PMID: 34692642,CCCCCCCCCCCCCCCCCCCC(=O)O,C20H40O2,312.53,18,2,1,100.03,37.3,4.56,9.29,7.11,5.13,6.62,-6.44,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-0.817,No,No,1.381,3.483,Yes,Yes,0.487,-2.046
Aurantiamide acetate,9832120,Sesame,Sesamum indicum ,PMID: 34692642,CC(=O)OCC(CC1=CC=CC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC=CC=C3,C27H28N2O4,444.52,13,4,2,126.35,84.5,3.57,4.45,3.32,3.41,3.89,-4.95,High,No,No,Yes,Yes,Yes,Yes,0,0,0.55,0,No,-0.541,No,Yes,1.961,1.622,Yes,No,0.334,-1.29
Behenic acid,8215,Sesame,Sesamum indicum ,PMID: 34692642,CCCCCCCCCCCCCCCCCCCCCC(=O)O,C22H44O2,340.58,20,2,1,109.64,37.3,5.26,10.37,7.89,5.58,7.4,-7.16,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-0.796,No,No,1.369,3.639,Yes,Yes,0.381,-2.528
Beta-sitosterol,222284,Sesame,Sesamum indicum ,PMID: 34692642,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Campesterol,173183,Sesame,Sesamum indicum ,PMID: 34692642,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
Daucosterol,5742590,Sesame,Sesamum indicum ,PMID: 34692642,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,C35H60O6,576.85,9,6,4,165.61,99.38,4.98,7.74,5.85,3.96,5.51,-7.7,Low,No,No,No,No,No,No,1,4,0.55,0,No,-0.887,No,No,2.571,3.293,No,No,0.285,-0.811
Decanoic acid,2969,Sesame,Sesamum indicum ,PMID: 34692642,CCCCCCCCCC(=O)O,C10H20O2,172.26,8,2,1,51.96,37.3,2.5,4.09,3.21,2.58,3.0,-2.96,High,Yes,No,No,No,No,No,0,0,0.85,0,No,-0.059,No,No,1.533,2.75,No,Yes,0.701,0.48
D-Galactitol,11850,Sesame,Sesamum indicum ,PMID: 34692642,C(C(C(C(C(CO)O)O)O)O)O,C6H14O6,182.17,5,6,6,37.93,121.38,0.34,-3.1,-3.59,-2.77,-2.21,1.31,Low,No,No,No,No,No,No,1,2,0.55,0,No,2.19,No,No,1.637,4.25,No,No,0.285,5.763
