Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"2,3-Dimethylamphetamine",541869,Sal,Shorea robusta,DOI: 10.25258/phyto.v9i6.8179,CC1=C(C(=CC=C1)CC(C)N)C,C11H17N,163.26,2,1,1,53.66,26.02,2.33,3.3,2.19,2.78,2.7,-3.17,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,0.445,No,No,2.473,1.673,Yes,Yes,0.217,1.624
2-Ethylacridine,610161,Sal,Shorea robusta,DOI: 10.25258/phyto.v9i6.8179,CCC1=CC2=CC3=CC=CC=C3N=C2C=C1,C15H13N,207.27,1,1,0,69.02,12.89,2.73,4.01,3.95,3.58,3.72,-4.23,High,Yes,Yes,Yes,No,Yes,No,0,0,0.55,0,Yes,0.371,No,Yes,1.739,1.146,No,No,1.188,-0.7
9-Anthracenecarbonitrile,14586,Sal,Shorea robusta,DOI: 10.25258/phyto.v9i6.8179,C1=CC=C2C(=C1)C=C3C=CC=CC3=C2C#N,C15H9N,203.24,0,1,0,66.17,23.79,2.4,3.88,3.86,3.36,3.51,-4.19,High,Yes,Yes,Yes,No,No,No,0,0,0.55,0,Yes,0.354,No,No,1.791,1.121,No,No,1.479,0.161
alpha-Amyrin,73170,Sal,Shorea robusta,DOI: 10.25258/phyto.v9i6.8179,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C,C30H50O,426.72,0,1,1,135.14,20.23,4.77,9.01,8.02,6.92,7.05,-8.16,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.571,No,Yes,2.467,0.856,No,No,0.384,-1.309
Aminoglutethimide,2145,Sal,Shorea robusta,DOI: 10.25258/phyto.v9i6.8179,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,C13H16N2O2,232.28,2,2,2,69.54,72.19,1.49,1.22,0.98,1.59,1.48,-2.18,High,No,No,No,No,No,No,0,0,0.55,0,Yes,0.131,No,No,2.017,1.514,No,No,0.47,2.201
Anthracene,8418,Sal,Shorea robusta,DOI: 10.25258/phyto.v9i6.8179,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C14H10,178.23,0,0,0,61.45,0.0,2.41,4.44,3.99,5.17,4.02,-4.48,Low,Yes,Yes,Yes,No,No,No,1,0,0.55,0,Yes,0.535,No,No,1.756,1.304,No,Yes,1.36,-0.273
Beta-Amyrin,73145,Sal,Shorea robusta,DOI: 10.25258/phyto.v9i6.8179,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,C30H50O,426.72,0,1,1,134.88,20.23,4.74,9.15,8.17,6.92,7.18,-8.25,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.56,No,Yes,2.478,0.873,No,No,0.383,-1.345
beta-CARYOPHYLLENE OXIDE,1742210,Sal,Shorea robusta,DOI: 10.25258/phyto.v9i6.8179,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,C15H24O,220.35,0,1,0,68.27,12.53,3.15,3.56,3.94,3.67,3.68,-3.45,High,Yes,No,Yes,Yes,No,No,0,0,0.55,0,No,0.148,No,No,1.548,1.224,No,Yes,1.079,0.955
beta-Guaiene,15560252,Sal,Shorea robusta,DOI: 10.25258/phyto.v9i6.8179,CC1CCC(=C(C)C)CC2=C1CCC2C,C15H24,204.35,0,0,0,69.04,0.0,3.37,4.07,4.87,4.63,4.24,-3.67,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.273,No,No,1.632,1.418,No,Yes,1.402,0.376
beta-Humulene,5318102,Sal,Shorea robusta,DOI: 10.25258/phyto.v9i6.8179,CC1=CCC(C=CCC(=C)CCC1)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.3,4.79,5.04,4.53,4.37,-4.12,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
