Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
13-cis-retinoic acid,5282379,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,C20H28O2,300.44,5,2,1,95.28,37.3,3.68,6.3,5.6,4.28,5.01,-5.34,High,Yes,Yes,Yes,Yes,No,No,1,1,0.85,0,No,-0.455,No,No,1.767,2.456,Yes,Yes,0.946,-0.446
Alpha tocopherol,14985,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,C29H50O2,430.71,12,2,1,139.27,29.46,5.92,10.7,8.84,6.14,8.27,-8.6,Low,No,No,No,No,No,No,1,3,0.55,0,No,0.775,No,Yes,2.072,1.987,No,No,1.017,-3.324
Ascorbic acid,54670067,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,C(C(C1C(=C(C(=O)O1)O)O)O)O,C6H8O6,176.12,2,6,4,35.12,107.22,0.39,-1.64,-1.41,-2.6,-1.28,0.23,High,No,No,No,No,No,No,0,2,0.56,0,No,1.598,No,No,1.063,3.186,No,No,0.285,4.386
Caffeic acid,689043,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Carbidopa,34359,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,C10H14N2O4,226.23,4,6,5,57.19,115.81,0.47,-2.17,-0.05,-1.95,-0.86,0.11,High,No,No,No,No,No,No,0,0,0.56,1,No,0.673,No,No,2.72,2.155,Yes,No,0.285,3.196
Chalcone,637760,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,C15H12O,208.26,3,1,0,66.25,17.07,2.53,3.08,3.47,3.44,3.29,-3.43,High,Yes,No,Yes,No,No,No,0,0,0.55,0,No,1.031,No,No,1.843,1.209,No,Yes,1.349,0.835
Chlorogenic acid,1794427,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Delphinidin,68245,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O.[Cl-],C15H11ClO7,338.7,1,7,6,84.05,134.52,-5.53,1.22,-0.38,0.03,-0.98,-3.16,High,No,No,No,No,No,No,1,0,0.55,1,No,0.503,No,No,2.548,3.09,No,No,0.286,3.85
Ferulic acid,445858,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.082,No,No,2.282,2.065,No,No,0.271,1.825
Folate,135398658,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,C19H19N7O6,441.4,10,9,6,111.92,213.28,0.02,-1.08,-0.38,-0.62,-0.36,-1.61,Low,No,No,No,No,No,No,2,0,0.11,0,No,-0.586,No,No,2.67,3.153,Yes,No,0.285,4.009
Kaempferol ,5280863,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
Myricetin ,5281672,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O8,318.24,1,8,6,80.06,151.59,1.08,1.18,1.69,-1.08,0.79,-3.01,Low,No,Yes,No,No,No,Yes,1,0,0.55,1,No,0.51,No,No,2.497,2.718,No,No,0.286,5.023
Naringenin,439246,Tomato,Solanum lycopersicum L.,DOI: 10.30574/wjarr.2023.20.2.2279,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,C15H12O5,272.25,1,5,3,71.57,86.99,1.75,2.52,2.19,0.71,1.84,-3.49,High,No,Yes,No,No,No,Yes,0,0,0.55,0,No,-0.176,No,No,1.791,1.944,No,No,0.369,2.136
