Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
7-Methoxyapigeninidin,76308630,Sorghum,Sorghum bicolor,PMID: 34829151,COC1=CC(=C2C=CC(=[O+]C2=C1)C3=CC=C(C=C3)O)O.[Cl-],C16H13ClO4,304.73,2,4,2,82.45,62.83,-3.75,2.89,0.8,1.92,0.72,-3.98,High,No,No,No,No,No,No,0,0,0.55,0,No,0.195,No,No,2.046,2.249,No,No,0.546,0.737
Apigenin,5280443,Sorghum,Sorghum bicolor,PMID: 34829151,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,1.89,3.02,2.58,0.52,2.11,-3.94,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.328,No,No,2.45,2.298,No,No,0.38,2.432
Apigeninidin,159360,Sorghum,Sorghum bicolor,PMID: 34829151,C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2)O)O)O.[Cl-],C15H11ClO4,290.7,1,4,3,77.98,73.83,-5.51,3.24,0.5,1.67,0.23,-4.21,High,No,Yes,No,No,No,No,0,0,0.55,0,No,0.309,No,No,2.403,1.731,No,No,0.366,1.995
Caffeic acid,689043,Sorghum,Sorghum bicolor,PMID: 34829151,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Catechin,9064,Sorghum,Sorghum bicolor,PMID: 34829151,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Chlorogenic acid,1794427,Sorghum,Sorghum bicolor,PMID: 34829151,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Cinnamic acid,444539,Sorghum,Sorghum bicolor,PMID: 34829151,C1=CC=C(C=C1)C=CC(=O)O,C9H8O2,148.16,2,2,1,43.11,37.3,1.55,2.13,1.68,1.9,1.79,-2.37,High,Yes,No,No,No,No,No,0,2,0.85,0,No,1.11,No,No,2.094,2.651,No,No,0.247,1.719
Cyanidin,128861,Sorghum,Sorghum bicolor,PMID: 34829151,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O,C15H11O6+,287.24,1,6,5,76.17,114.29,-2.62,0.77,2.91,0.32,0.32,-2.6,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.497,No,No,2.464,2.542,No,No,0.29,2.548
Epicatechin,72276,Sorghum,Sorghum bicolor,PMID: 34829151,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Eriodictyol,440735,Sorghum,Sorghum bicolor,PMID: 34829151,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,C15H12O6,288.25,1,6,4,73.59,107.22,1.62,2.02,1.89,0.16,1.45,-3.26,High,No,No,No,No,No,Yes,0,0,0.55,1,No,0.014,No,No,2.03,2.475,No,No,0.332,2.972
