Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
2-heptanone,8051,Clove,Syzygium aromaticum,PMID: 31965918,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,C12H14O3,206.24,5,3,0,58.54,35.53,2.73,2.3,2.35,2.43,2.55,-2.53,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,1.102,No,No,2.198,2.008,No,Yes,1.003,1.419
3-0-caffeoylquinic,6440783,Clove,Syzygium aromaticum,PMID: 31965918,CC1=CCC2CC1C2(C)CCC=C(C)C,C15H24,204.35,3,0,0,68.78,0.0,3.41,6.45,4.73,4.63,4.7,-4.97,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.084,No,No,1.68,1.367,No,Yes,1.562,-0.103
3-phenylpropionic acid,107,Clove,Syzygium aromaticum,PMID: 31965918,C1=CC=C(C=C1)CCC(=O)O,C9H10O2,150.17,3,2,1,42.79,37.3,1.5,1.84,1.7,1.98,1.78,-2.14,High,Yes,No,No,No,No,No,0,1,0.85,0,No,1.073,No,No,2.067,2.668,Yes,No,0.247,1.668
Alpha Bergamotene,6429302,Clove,Syzygium aromaticum,PMID: 31965918,CC1=CCCC(=CC2C(C2(C)C)CC1)C,C15H24,204.35,0,0,0,68.78,0.0,3.34,4.14,4.73,4.63,4.15,-3.72,Low,No,No,Yes,Yes,No,No,1,0,0.55,0,No,0.334,No,No,1.646,1.386,No,Yes,1.338,0.595
Benzyl Benzoate,2345,Clove,Syzygium aromaticum,PMID: 31965918,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,C14H12O2,212.24,4,2,0,62.21,26.3,2.68,3.97,2.89,3.41,3.25,-3.95,High,Yes,Yes,Yes,No,No,No,0,0,0.55,0,No,1.182,No,No,1.732,2.394,No,Yes,1.361,0.834
Bicyclogermacrene,5315347,Clove,Syzygium aromaticum,PMID: 31965918,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C14H6O8,302.19,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.0,-2.94,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.476,No,No,2.399,2.698,No,No,0.295,2.11
Biflorin,441959,Clove,Syzygium aromaticum,PMID: 31965918,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
Campesterol,173183,Clove,Syzygium aromaticum,PMID: 31965918,COC1=CC(=CC(=C1O)C2=C(C(=CC(=C2)CC=C)OC)O)CC=C,C20H22O4,326.39,7,4,2,97.12,58.92,3.79,4.92,4.24,3.04,4.22,-4.87,High,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0.55,0,No,0.15,No,Yes,1.953,1.34,No,No,0.373,-0.538
Crategolic acid (Antitumor),73659,Clove,Syzygium aromaticum,PMID: 31965918,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,C30H48O3,456.7,1,3,2,136.65,57.53,3.89,7.49,7.23,5.82,6.06,-7.32,Low,No,No,No,No,No,No,1,3,0.85,0,No,0.203,No,No,2.349,2.085,Yes,No,0.285,-0.823
Dehydrodieugenol,165225,Clove,Syzygium aromaticum,PMID: 31965918,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1)C)C(=O)O)C,C30H48O4,472.7,1,4,3,137.82,77.76,3.55,6.51,6.2,4.97,5.24,-6.81,High,No,No,No,No,No,No,1,3,0.56,0,No,0.127,No,No,2.516,1.889,Yes,No,0.285,0.24
Ellagic acid,5281855,Clove,Syzygium aromaticum,PMID: 31965918,COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)O)O,C16H12O7,316.26,2,7,4,82.5,120.36,2.23,1.87,2.29,-0.31,1.63,-3.36,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.56,No,No,2.453,2.679,No,No,0.331,1.885
Eugenol,3314,Clove,Syzygium aromaticum,PMID: 31965918,COC1=C(C=CC(=C1)CC=C)O,C10H12O2,164.2,3,2,1,49.06,29.46,2.37,2.27,2.13,2.01,2.25,-2.46,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,1.024,No,No,2.118,2.049,No,Yes,0.3,1.702
Eugenyl acetate,7136,Clove,Syzygium aromaticum,PMID: 31965918,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,C12H14O3,206.24,5,3,0,58.54,35.53,2.73,2.3,2.35,2.43,2.55,-2.53,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,1.102,No,No,2.198,2.008,No,Yes,1.003,1.419
Gallic acid,370,Clove,Syzygium aromaticum,PMID: 31965918,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
Iso-eugenol,853433,Clove,Syzygium aromaticum,PMID: 31965918,COC1=CC(=CC(=C1O)OC)C=CC(=O)O,C11H12O5,224.21,4,5,2,58.12,75.99,1.63,1.46,1.4,0.73,1.31,-2.16,High,No,No,No,No,No,No,0,0,0.56,0,No,1.193,No,No,2.24,2.324,No,No,0.262,2.18
Kaempferol,5280863,Clove,Syzygium aromaticum,PMID: 31965918,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H48O,412.69,5,1,1,132.75,20.23,5.01,8.56,7.8,6.62,6.97,-7.46,Low,No,No,No,Yes,No,No,1,3,0.55,0,No,-0.664,No,Yes,2.54,0.872,No,No,0.433,-1.675
Methyl salicylate,4133,Clove,Syzygium aromaticum,PMID: 31965918,COC(=O)C1=CC=CC=C1O,C8H8O3,152.15,2,3,1,39.74,46.53,2.03,2.55,1.18,1.32,1.66,-2.66,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,0.769,No,No,1.764,2.305,No,No,0.367,1.778
Methyl-eugenol,7127,Clove,Syzygium aromaticum,PMID: 31965918,COC1=C(C=C(C=C1)CC=C)OC,C11H14O2,178.23,4,2,0,53.53,18.46,2.65,2.52,2.43,2.3,2.58,-2.61,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,0.959,No,No,1.973,2.119,No,Yes,0.742,1.449
Myricetin,5281672,Clove,Syzygium aromaticum,PMID: 31965918,CC1=CCC(C=CCC(=CCC1)C)(C)C,C15H24,204.35,0,0,0,70.42,0.0,3.27,4.55,5.04,4.53,4.26,-3.97,Low,No,No,No,Yes,No,No,1,0,0.55,0,No,0.551,No,No,1.766,1.336,No,Yes,1.451,0.716
