Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Alpha-Terpineol,17100,Jamun,Syzygium cumini,PMID: 30379170,CC1=CCC(CC1)C(C)(C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.39,2.5,2.3,2.58,-2.87,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.886,No,No,1.923,1.945,No,Yes,0.008,1.8
Beta-Carotene,5280489,Jamun,Syzygium cumini,PMID: 30379170,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,C40H56,536.87,10,0,0,184.43,0.0,7.79,13.54,12.61,8.96,11.11,-11.04,Low,No,No,No,No,No,No,2,4,0.17,0,Yes,-0.379,No,Yes,2.073,0.65,No,No,0.326,-4.028
beta-Pinene,14896,Jamun,Syzygium cumini,PMID: 30379170,CC1(C2CCC(=C)C1C2)C,C10H16,136.23,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.42,-3.31,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
Beta-Sitosterol,222284,Jamun,Syzygium cumini,PMID: 30379170,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
beta-Terpinene,66841,Jamun,Syzygium cumini,PMID: 30379170,CC(C)C1=CCC(=C)CC1,C10H16,136.23,1,0,0,47.12,0.0,2.72,2.75,3.31,3.27,3.06,-2.35,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.695,No,No,1.734,2.418,No,No,0.637,0.93
Betulin,72326,Jamun,Syzygium cumini,PMID: 30379170,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,C30H50O2,442.72,2,2,2,136.3,40.46,4.31,8.28,7.0,6.0,6.36,-7.67,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.794,No,Yes,2.699,2.172,Yes,No,0.315,-1.118
Betulinic Acid,64971,Jamun,Syzygium cumini,PMID: 30379170,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,C30H48O3,456.7,2,3,2,136.91,57.53,3.79,8.21,7.09,5.82,6.13,-7.71,Low,No,No,No,Yes,No,No,1,3,0.85,0,No,0.144,No,No,2.256,2.206,Yes,No,0.285,-1.174
Caffeic Acid,689043,Jamun,Syzygium cumini,PMID: 30379170,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Catechin,9064,Jamun,Syzygium cumini,PMID: 30379170,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Chlorogenic Acid,1794427,Jamun,Syzygium cumini,PMID: 30379170,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Corilagin,73568,Jamun,Syzygium cumini,PMID: 30379170,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O)O,C27H22O18,634.45,3,18,11,141.85,310.66,2.03,0.07,-0.3,-2.42,-0.55,-3.92,Low,No,No,No,No,No,No,3,2,0.17,1,No,0.438,No,Yes,2.482,6.333,No,No,0.285,11.281
Cryptoxanthin,5281235,Jamun,Syzygium cumini,PMID: 30379170,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)O)C)C)C,C40H56O,552.87,10,1,1,185.59,20.23,7.44,12.25,11.58,7.89,10.19,-10.33,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.657,No,Yes,2.233,0.517,No,No,0.334,-3.499
"Delphinidin-3,5-O-diglucoside",155902950,Jamun,Syzygium cumini,PMID: 30379170,C1=C(C=C(C(=C1O)O)O)C2=C(C=C3C(=CC(=CC3=[O+]2)O)OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O,C27H31O17+,627.52,7,17,12,142.44,292.82,-2.65,-3.19,-2.44,-4.28,-3.41,-1.53,Low,No,No,No,No,No,No,3,4,0.17,1,No,0.462,No,Yes,2.487,5.069,No,No,0.285,11.071
Ellagic Acid,5281855,Jamun,Syzygium cumini,PMID: 30379170,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,C14H6O8,302.19,0,8,4,75.31,141.34,0.79,1.1,1.31,0.14,1.0,-2.94,High,No,Yes,No,No,No,No,0,0,0.55,1,No,0.476,No,No,2.399,2.698,No,No,0.295,2.11
Ellagitannin,10033935,Jamun,Syzygium cumini,PMID: 30379170,CC(=O)CC1(C(=O)C=C2C3C1(OC4=C3C(=CC(=C4O)O)C(=O)OC5C6COC(=O)C7=CC(=C(C(=C7C8=C(C(=C(C=C8C(=O)OC5C(C(O6)OC(=O)C9=CC(=C(C(=C9)O)O)O)OC2=O)O)O)O)O)O)O)O)O,C44H32O27,992.71,5,27,13,221.56,447.09,-0.03,0.21,-0.07,-3.42,-0.98,-6.05,Low,No,No,No,No,No,No,3,3,0.17,1,No,0.438,No,Yes,2.482,7.658,No,No,0.285,16.01
Eugenin,10189,Jamun,Syzygium cumini,PMID: 30379170,CC1=CC(=O)C2=C(C=C(C=C2O1)OC)O,C11H10O4,206.19,1,4,1,55.97,59.67,2.43,2.58,1.82,0.24,1.89,-3.17,High,Yes,Yes,No,No,No,No,0,0,0.55,0,No,0.601,No,No,2.099,1.358,No,No,0.531,1.549
Eugenol,3314,Jamun,Syzygium cumini,PMID: 30379170,COC1=C(C=CC(=C1)CC=C)O,C10H12O2,164.2,3,2,1,49.06,29.46,2.37,2.27,2.13,2.01,2.25,-2.46,High,Yes,Yes,No,No,No,No,0,0,0.55,0,Yes,1.024,No,No,2.118,2.049,No,Yes,0.3,1.702
Ferulic acid,445858,Jamun,Syzygium cumini,PMID: 30379170,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.082,No,No,2.282,2.065,No,No,0.271,1.825
Friedelin,91472,Jamun,Syzygium cumini,PMID: 30379170,CC1C(=O)CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C,C30H50O,426.72,0,1,0,134.39,17.07,4.52,9.8,8.46,6.92,7.44,-8.66,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.213,No,Yes,2.64,0.909,No,No,0.3,-2.384
