Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"(E)-4-(2',3',6'-trimethylphenyl)-3-buten-2-one",6428793,Tamarind,Tamarindus indica,DOI: 10.1080/10412905.1998.9700886,CC1=C(C(=C(C=C1)C)C=CC(=O)C)C,C13H16O,188.27,2,1,0,61.24,17.07,2.6,3.13,3.11,3.16,3.23,-3.16,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.721,No,No,1.772,1.237,No,Yes,1.271,0.794
1-Methylpyrrole,7304,Tamarind,Tamarindus indica,DOI: 10.1080/10412905.1998.9700886,CN1C=CC=C1,C5H7N,81.12,0,0,0,25.69,4.93,1.58,1.21,1.03,0.46,1.04,-1.72,Low,No,No,No,No,No,No,0,3,0.55,0,No,1.04,No,No,2.408,1.652,No,No,-0.34,2.25
1-Octanol,957,Tamarind,Tamarindus indica,DOI: 10.1080/10412905.1998.9700886,CCCCCCCCO,C8H18O,130.23,6,1,1,41.73,20.23,2.51,3.0,2.34,2.22,2.44,-2.14,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.723,No,No,1.679,1.981,No,Yes,0.207,1.193
"2,3-Dimethylmaleic anhydride",13010,Tamarind,Tamarindus indica,DOI: 10.1080/10412905.1998.9700886,CC1=C(C(=O)OC1=O)C,C6H6O3,126.11,0,3,0,29.85,43.37,1.24,0.62,0.41,0.61,0.85,-1.01,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.121,No,No,1.953,2.534,No,Yes,-1.093,2.098
"2,4-Heptadienal",5283321,Tamarind,Tamarindus indica,DOI: 10.1080/10412905.1998.9700886,CCC=CC=CC=O,C7H10O,110.15,3,1,0,35.02,17.07,1.83,1.62,1.71,1.54,1.67,-1.35,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,0.776,No,No,1.909,1.895,No,Yes,0.778,1.466
2-Acetylfuran,14505,Tamarind,Tamarindus indica,DOI: 10.1080/10412905.1998.9700886,CC(=O)C1=CC=CO1,C6H6O2,110.11,1,2,0,28.9,30.21,1.65,0.52,1.48,-0.18,1.01,-1.25,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,1.081,No,No,2.356,1.861,No,Yes,-0.528,2.015
2-Butenal,447466,Tamarind,Tamarindus indica,DOI: 10.1080/10412905.1998.9700886,CC=CC=O,C4H6O,70.09,1,1,0,21.07,17.07,1.27,0.55,0.76,0.49,0.73,-0.56,High,No,No,No,No,No,No,0,3,0.55,0,Yes,1.102,No,No,2.161,1.724,No,No,0.567,2.162
2-Hexenal,5281168,Tamarind,Tamarindus indica,DOI: 10.1080/10412905.1998.9700886,CCCC=CC=O,C6H10O,98.14,3,1,0,30.68,17.07,1.74,1.52,1.54,1.28,1.5,-1.21,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,0.867,No,No,1.988,1.87,No,Yes,0.685,1.634
2-Methyl-3-buten-2-OL,8257,Tamarind,Tamarindus indica,DOI: 10.1080/10412905.1998.9700886,CC(C)(C=C)O,C5H10O,86.13,1,1,1,26.87,20.23,1.75,0.78,0.94,1.01,1.0,-0.8,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.222,No,No,1.95,1.668,No,No,-1.139,2.44
2-Methylbutanoic acid,8314,Tamarind,Tamarindus indica,DOI: 10.1080/10412905.1998.9700886,CCC(C)C(=O)O,C5H10O2,102.13,2,2,1,27.92,37.3,1.31,1.18,1.12,0.89,0.97,-1.08,High,Yes,No,No,No,No,No,0,3,0.85,0,No,1.273,No,No,1.765,2.604,No,No,-0.556,2.068
