Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Arachidic Acid,10467,Arjuna,Terminalia arjuna,DOI: 10.1007/s11101-009-9134-8,CCCCCCCCCCCCCCCCCCCC(=O)O,C20H40O2,312.53,18,2,1,100.03,37.3,4.56,9.29,7.11,5.13,6.62,-6.44,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-0.817,No,No,1.381,3.483,Yes,Yes,0.487,-2.046
Arjugenin,12444386,Arjuna,Terminalia arjuna,DOI: 10.1007/s11101-009-9134-8,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1O)C)C(=O)O)C,C30H48O6,504.7,2,6,5,140.14,118.22,3.33,4.5,4.15,3.33,3.75,-5.67,High,No,No,No,No,No,No,1,3,0.56,0,No,0.078,No,No,2.427,2.309,No,No,0.285,1.977
Arjunetin,21152828,Arjuna,Terminalia arjuna,DOI: 10.1007/s11101-009-9134-8,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1O)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C,C36H58O10,650.84,4,10,7,170.95,177.14,2.47,3.36,2.43,1.71,2.39,-5.73,Low,No,No,No,No,No,No,2,3,0.17,0,No,-1.65,No,No,2.87,2.89,No,No,0.285,3.856
Arjunic acid,15385516,Arjuna,Terminalia arjuna,DOI: 10.1007/s11101-009-9134-8,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1O)C)C(=O)O)C,C30H48O5,488.7,1,5,4,138.98,97.99,3.29,5.17,5.18,4.14,4.37,-6.06,High,No,No,No,No,No,No,0,3,0.56,0,No,0.129,No,No,2.388,-0.082,No,No,0.285,1.17
Arjunolic acid,73641,Arjuna,Terminalia arjuna,DOI: 10.1007/s11101-009-9134-8,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1)C)C(=O)O)C,C30H48O5,488.7,2,5,4,138.98,97.99,3.23,5.84,5.18,4.14,4.55,-6.42,High,No,No,No,No,No,No,0,3,0.56,0,No,0.081,No,No,2.594,0.553,No,No,0.285,1.07
Baicalein,5281605,Arjuna,Terminalia arjuna,PMID: 28053890,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,C15H10O5,270.24,1,5,3,73.99,90.9,2.43,3.16,2.58,0.52,2.24,-4.03,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.498,No,No,2.325,2.645,No,No,0.42,1.25
beta-Sitosterol-d-glucoside,12309060,Arjuna,Terminalia arjuna,DOI: 10.1007/s11101-009-9134-8,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,C35H60O6,576.85,9,6,4,165.61,99.38,4.98,7.74,5.85,3.96,5.51,-7.7,Low,No,No,No,No,No,No,1,4,0.55,0,No,-0.887,No,No,2.571,3.293,No,No,0.285,-0.811
Casuariin,14035442,Arjuna,Terminalia arjuna,DOI: 10.1007/s11101-009-9134-8,C1C(C(OC(=O)C2=CC(=C(C(=C2C3=C(C(=C(C=C3C(=O)O1)O)O)O)O)O)O)C4C5C(C6=C(C(=C(C(=C6C(=O)O5)C7=C(C(=C(C=C7C(=O)O4)O)O)O)O)O)O)O)O,C34H24O22,784.54,1,22,14,176.79,388.42,0.35,0.07,0.03,-3.01,-0.89,-5.0,Low,No,No,No,No,No,No,3,3,0.17,1,No,0.438,No,Yes,2.482,8.432,No,No,0.285,18.77
Casuarinin,442673,Arjuna,Terminalia arjuna,DOI: 10.1007/s11101-009-9134-8,C1C(C(OC(=O)C2=CC(=C(C(=C2C3=C(C(=C(C=C3C(=O)O1)O)O)O)O)O)O)C4C5C(C6=C(C(=C(C(=C6C(=O)O5)C7=C(C(=C(C=C7C(=O)O4)O)O)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,C41H28O26,936.65,4,26,16,212.5,455.18,0.29,1.24,1.01,-3.23,-0.49,-6.5,Low,No,No,No,No,No,No,3,3,0.17,1,No,0.438,No,Yes,2.482,11.277,No,No,0.285,21.553
Catechin,9064,Arjuna,Terminalia arjuna,DOI: 10.1007/s11101-009-9134-8,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
