Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
13-Docosenoic acid,8216,Haritaki,Terminalia chebula,PMID: 20491085,CCCCCCCCC=CCCCCCCCCCCCC(=O)O,C22H42O2,338.57,19,2,1,109.17,37.3,5.22,9.81,7.67,5.47,7.17,-6.87,Low,No,Yes,No,No,No,No,1,1,0.85,0,No,-0.833,No,No,1.382,3.567,Yes,Yes,0.393,-2.401
2-Acetylfuran,14505,Haritaki,Terminalia chebula,PMID: 20491085,CC(=O)C1=CC=CO1,C6H6O2,110.11,1,2,0,28.9,30.21,1.65,0.52,1.48,-0.18,1.01,-1.25,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,1.081,No,No,2.356,1.861,No,Yes,-0.528,2.015
3-Methylpent-3-en-2-one,79048,Haritaki,Terminalia chebula,PMID: 20491085,CC=C(C)C(=O)C,C6H10O,98.14,1,1,0,30.68,17.07,1.78,1.14,1.54,1.28,1.37,-1.1,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.007,No,No,1.867,1.878,No,Yes,-0.404,1.928
"4-Cyclopentene-1,3-dione",70258,Haritaki,Terminalia chebula,PMID: 20491085,C1C(=O)C=CC1=O,C5H4O2,96.08,0,2,0,23.96,34.14,0.8,-0.04,0.08,-0.51,0.3,-0.41,High,No,No,No,No,No,No,0,3,0.55,0,No,1.107,No,No,1.919,2.377,No,Yes,-1.434,2.553
5-Methylfurfural,12097,Haritaki,Terminalia chebula,PMID: 20491085,CC1=CC=C(O1)C=O,C6H6O2,110.11,1,2,0,29.06,30.21,1.33,0.67,1.4,-0.18,1.02,-1.34,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,1.009,No,No,2.445,1.763,No,Yes,-0.623,2.163
"6,10-Dimethylundecan-2-one",95495,Haritaki,Terminalia chebula,PMID: 20491085,CC(C)CCCC(C)CCCC(=O)C,C13H26O,198.34,8,1,0,64.8,17.07,3.22,4.53,4.21,3.54,3.93,-3.4,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.396,No,No,1.552,1.29,No,Yes,1.975,-0.245
Arjugenin,12444386,Haritaki,Terminalia chebula,PMID: 23939793,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1O)C)C(=O)O)C,C30H48O6,504.7,2,6,5,140.14,118.22,3.33,4.5,4.15,3.33,3.75,-5.67,High,No,No,No,No,No,No,1,3,0.56,0,No,0.078,No,No,2.427,2.309,No,No,0.285,1.977
Arjunetin,21152828,Haritaki,Terminalia chebula,PMID: 23939793,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1O)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C,C36H58O10,650.84,4,10,7,170.95,177.14,2.47,3.36,2.43,1.71,2.39,-5.73,Low,No,No,No,No,No,No,2,3,0.17,0,No,-1.65,No,No,2.87,2.89,No,No,0.285,3.856
arjunglucoside I,14658050,Haritaki,Terminalia chebula,PMID: 23939793,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1O)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C,C36H58O11,666.84,5,11,8,172.11,197.37,1.15,2.69,1.41,0.94,1.52,-5.34,Low,No,No,No,No,No,No,3,3,0.17,0,No,-1.734,No,Yes,2.919,3.288,No,No,0.285,4.663
Arjunglucoside II,52951052,Haritaki,Terminalia chebula,PMID: 23939793,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C,C36H58O10,650.84,5,10,7,170.95,177.14,3.35,4.04,2.44,1.71,2.76,-6.09,Low,No,No,No,No,No,No,2,3,0.17,0,No,-1.362,No,Yes,2.908,3.493,No,No,0.285,3.264
Arjunic acid,15385516,Haritaki,Terminalia chebula,PMID: 23939793,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1O)C)C(=O)O)C,C30H48O5,488.7,1,5,4,138.98,97.99,3.29,5.17,5.18,4.14,4.37,-6.06,High,No,No,No,No,No,No,0,3,0.56,0,No,0.129,No,No,2.388,-0.082,No,No,0.285,1.17
Arjunolic acid,73641,Haritaki,Terminalia chebula,PMID: 23939793,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1)C)C(=O)O)C,C30H48O5,488.7,2,5,4,138.98,97.99,3.23,5.84,5.18,4.14,4.55,-6.42,High,No,No,No,No,No,No,0,3,0.56,0,No,0.081,No,No,2.594,0.553,No,No,0.285,1.07
Benzaldehyde,240,Haritaki,Terminalia chebula,PMID: 20491085,C1=CC=C(C=C1)C=O,C7H6O,106.12,1,1,0,31.83,17.07,1.36,1.48,1.5,1.45,1.57,-1.92,High,Yes,Yes,No,No,No,No,0,3,0.55,0,No,0.997,No,No,1.803,1.959,No,No,-0.285,1.724
Chebulanin,75034370,Haritaki,Terminalia chebula,PMID: 25230505,C1=C(C=C(C(=C1O)O)O)C(=O)OC2C3C(C(C(O2)CO)OC(=O)C(C4C(C(=O)OC5=C4C(=CC(=C5O)O)C(=O)O3)O)CC(=O)O)O,C27H24O19,652.47,6,19,9,139.65,313.57,0.53,-1.68,-1.95,-2.25,-1.58,-2.62,Low,No,No,No,No,No,No,3,3,0.11,1,No,0.419,No,No,2.485,6.356,No,No,0.285,13.541
Chebulinic acid,72284,Haritaki,Terminalia chebula,PMID: 20491085,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C3C(C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C6=C5C(C(C(=O)O3)CC(=O)O)C(C(=O)O6)O)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O,C41H32O27,956.68,12,27,13,211.07,447.09,0.95,0.66,0.02,-2.64,-0.66,-5.66,Low,No,No,No,No,No,No,3,3,0.11,1,No,0.438,No,No,2.482,9.869,No,No,0.285,16.045
Chebuloside II,23844056,Haritaki,Terminalia chebula,PMID: 20491085,CC1(CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1)C)C(=O)OC6C(C(C(C(O6)CO)O)O)O)C,C36H58O11,666.84,5,11,8,172.11,197.37,3.54,2.69,1.41,0.94,2.0,-5.34,Low,No,No,No,No,No,No,3,3,0.17,0,No,-1.703,No,Yes,3.026,3.874,No,No,0.285,4.38
Corilagin,73568,Haritaki,Terminalia chebula,PMID: 25230505,C1C2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O1)O)O)O)O)O)O)O,C27H22O18,634.45,3,18,11,141.85,310.66,2.03,0.07,-0.3,-2.42,-0.55,-3.92,Low,No,No,No,No,No,No,3,2,0.17,1,No,0.438,No,Yes,2.482,6.333,No,No,0.285,11.281
Ethyl cinnamate,637758,Haritaki,Terminalia chebula,PMID: 20491085,CCOC(=O)C=CC1=CC=CC=C1,C11H12O2,176.21,4,2,0,52.24,26.3,2.23,2.99,2.15,2.49,2.49,-2.89,High,Yes,No,No,No,No,No,0,0,0.55,0,No,1.073,No,No,1.977,2.014,Yes,Yes,0.897,0.611
Furfural,7362,Haritaki,Terminalia chebula,PMID: 20491085,C1=COC(=C1)C=O,C5H4O2,96.08,1,2,0,24.1,30.21,1.03,0.41,1.09,-0.56,0.69,-1.16,High,Yes,No,No,No,No,No,0,3,0.55,0,Yes,1.063,No,No,2.429,1.73,No,Yes,-0.82,2.408
Gallic Acid,370,Haritaki,Terminalia chebula,PMID: 20491085,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
Isoterchebulin,16143735,Haritaki,Terminalia chebula,PMID: 20491085,C1C2C(C3C(C(O2)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O3)O)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6C7=C(C(=C8C9=C7C(=O)OC2=C9C(=CC(=C2OC2=C(C(=C(C=C2C(=O)O1)O)O)O)O)C(=O)O8)O)O)O)O)O,C48H28O30,1084.72,0,30,16,249.92,507.76,1.33,2.0,2.38,-3.02,0.33,-8.2,Low,No,No,No,No,No,No,3,3,0.17,1,No,0.438,No,No,2.482,10.347,No,No,0.285,16.462
