Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
Betaine,247,Wheat,Triticum aestivum,DOI: 10.15761/IFNM.1000270,C[N+](C)(C)CC(=O)[O-],C5H11NO2,117.15,2,2,0,28.35,40.13,-2.19,-0.13,-1.56,-3.67,-2.18,-0.35,Low,No,No,No,No,No,No,0,4,0.55,0,No,1.048,No,No,2.006,0.098,No,Yes,-0.442,2.895
Biotin,171548,Wheat,Triticum aestivum,DOI: 10.15761/IFNM.1000270,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,C10H16N2O3S,244.31,5,3,3,69.34,103.73,1.36,0.33,0.04,0.74,0.62,-1.23,High,No,No,No,No,No,No,0,0,0.56,0,Yes,1.135,No,No,2.346,1.53,Yes,No,1.067,1.538
caffeic acid,689043,Wheat,Triticum aestivum,DOI: 10.1016/j.tifs.2021.02.003,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,Yes,1.552,No,No,2.023,2.914,No,No,0.027,1.803
Choline,305,Wheat,Triticum aestivum,DOI: 10.15761/IFNM.1000270,C[N+](C)(C)CCO,C5H14NO+,104.17,2,1,1,29.69,20.23,-2.14,-0.4,-0.32,-3.46,-1.86,-0.1,Low,No,No,No,No,No,No,0,2,0.55,0,No,2.047,No,No,1.505,2.519,No,Yes,-0.615,2.006
Cyanidin 3-glucoside,441667,Wheat,Triticum aestivum,DOI: 10.15406/mojfpt.2016.02.00037,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O,C21H21O11+,449.38,4,11,8,108.29,193.44,-3.22,0.14,0.38,-1.76,-1.28,-2.82,Low,No,No,No,No,No,No,2,0,0.17,1,Yes,-0.121,No,Yes,2.3,1.387,No,No,0.443,2.061
Delphinidin 3-glucoside,443650,Wheat,Triticum aestivum,DOI: 10.15406/mojfpt.2016.02.00037,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H21O12+,465.38,4,12,9,110.32,213.67,-2.99,-0.22,0.09,-2.25,-1.55,-2.68,Low,No,No,No,No,No,No,2,0,0.17,1,No,-0.111,No,Yes,2.199,1.353,No,No,0.388,2.167
ferulic acid,445858,Wheat,Triticum aestivum,DOI: 10.1016/j.tifs.2021.02.003,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,Yes,1.502,No,No,2.105,2.753,No,No,0.548,1.649
Folate,135398658,Wheat,Triticum aestivum,DOI: 10.15761/IFNM.1000270,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,C19H19N7O6,441.4,10,9,6,111.92,213.28,0.02,-1.08,-0.38,-0.62,-0.36,-1.61,Low,No,No,No,No,No,No,2,0,0.11,0,Yes,0.324,No,Yes,2.354,1.279,Yes,No,0.361,1.942
gallic acid,370,Wheat,Triticum aestivum,DOI: 10.1016/j.tifs.2021.02.003,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,Yes,1.591,No,No,2.014,1.562,No,No,-0.343,2.074
Lutein,5281243,Wheat,Triticum aestivum,DOI: 10.15761/IFNM.1000270,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C,C40H56O2,568.87,10,2,2,186.76,40.46,7.15,11.01,10.4,6.96,9.21,-9.64,Low,No,No,No,No,No,No,2,4,0.17,0,No,-0.07,No,Yes,2.554,1.712,Yes,No,0.656,-1.386
Niacin,938,Wheat,Triticum aestivum,DOI: 10.15761/IFNM.1000270,C1=CC(=CN=C1)C(=O)O,C6H5NO2,123.11,1,3,1,31.2,50.19,0.86,0.36,0.78,-1.13,0.32,-1.26,High,Yes,No,No,No,No,No,0,3,0.85,0,No,1.793,No,No,1.914,2.856,No,No,-0.629,1.931
p-hydroxybenzoic acid,135,Wheat,Triticum aestivum,DOI: 10.1016/j.tifs.2021.02.003,C1=CC(=CC=C1C(=O)O)O,C7H6O3,138.12,1,3,2,35.42,57.53,0.85,1.58,1.09,0.99,1.05,-2.07,High,Yes,No,No,No,No,No,0,3,0.85,0,No,1.736,No,No,1.928,2.925,No,No,-0.512,1.86
Procyanidin B-3,146798,Wheat,Triticum aestivum,DOI: 10.15406/mojfpt.2016.02.00037,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,C30H26O12,578.52,3,12,10,146.71,220.76,2.05,2.37,2.35,-0.26,1.53,-5.14,Low,No,No,No,No,No,Yes,3,2,0.17,1,No,-0.827,No,Yes,2.489,1.174,No,No,0.297,1.474
Pyridoxin,1054,Wheat,Triticum aestivum,DOI: 10.15761/IFNM.1000270,CC1=NC=C(C(=C1O)CO)CO,C8H11NO3,169.18,2,4,3,43.48,73.58,0.8,-0.77,-0.22,-0.91,-0.02,-0.64,High,No,No,No,No,No,No,0,0,0.55,0,Yes,1.61,No,No,1.82,2.863,No,No,-0.289,2.032
Riboflavin,493570,Wheat,Triticum aestivum,DOI: 10.15761/IFNM.1000270,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,C17H20N4O6,376.36,5,8,5,96.99,161.56,0.97,-1.46,-1.68,-0.54,-0.32,-1.31,Low,No,No,No,No,No,No,0,1,0.55,0,Yes,0.395,No,Yes,2.312,1.615,Yes,No,0.585,2.491
Secoisolariciresinol diglycoside,9917980,Wheat,Triticum aestivum,DOI: 10.15406/mojfpt.2016.02.00037,COC1=C(C=CC(=C1)CC(COC2C(C(C(C(O2)CO)O)O)O)C(CC3=CC(=C(C=C3)O)OC)COC4C(C(C(C(O4)CO)O)O)O)O,C32H46O16,686.7,15,16,10,164.05,257.68,1.07,-0.67,-2.23,-3.19,-1.14,-2.87,Low,No,No,No,No,No,No,3,4,0.17,0,No,0.3,No,Yes,1.27,1.477,No,No,0.288,2.049
