Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
2'-hydroxydihydrodaidzein ,440047,Black gram,Vigna mungo,DOI: 10.22270/jddt.v9i4-s.3311,C1C(C(=O)C2=C(O1)C=C(C=C2)O)C3=C(C=C(C=C3)O)O,C15H12O5,272.25,1,5,3,71.57,86.99,1.32,2.01,2.16,0.71,1.65,-3.17,High,No,No,No,No,No,No,0,0,0.55,0,Yes,1.109,No,No,2.102,2.129,No,No,0.916,1.443
5-deoxykievitone,442770,Black gram,Vigna mungo,DOI: 10.22270/jddt.v9i4-s.3311,CC(=CCC1=C(C=CC2=C1OCC(C2=O)C3=C(C=C(C=C3)O)O)O)C,C20H20O5,340.37,3,5,3,95.29,86.99,1.98,3.93,3.67,1.82,3.03,-4.58,High,No,No,No,Yes,Yes,Yes,0,0,0.55,0,No,0.303,No,Yes,2.623,1.224,No,No,1.644,1.081
5-deoxykievitone hydrate,44257380,Black gram,Vigna mungo,DOI: 10.22270/jddt.v9i4-s.3311,CC(C)(CCC1=C(C=CC2=C1OCC(C2=O)C3=C(C=C(C=C3)O)O)O)O,C20H22O6,358.39,4,6,4,96.96,107.22,2.26,2.56,2.87,1.09,2.38,-3.75,High,No,No,No,No,Yes,No,0,0,0.55,0,No,0.251,No,Yes,2.561,1.444,No,No,1.355,1.245
caffeic acid,689043,Black gram,Vigna mungo,DOI: 10.22270/jddt.v9i4-s.3311,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,Yes,1.552,No,No,2.023,2.914,No,No,0.027,1.803
Cyanidin,128861,Black gram,Vigna mungo,DOI: 10.22270/jddt.v9i4-s.3311,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O,C15H11O6+,287.24,1,6,5,76.17,114.29,-2.62,0.77,2.91,0.32,0.32,-2.6,High,No,Yes,No,No,No,No,0,0,0.55,1,Yes,0.523,No,No,2.642,1.368,No,No,1.258,1.511
Cyanidin 3- glucoside,441667,Black gram,Vigna mungo,DOI: 10.22270/jddt.v9i4-s.3311,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O,C21H21O11+,449.38,4,11,8,108.29,193.44,-3.22,0.14,0.38,-1.76,-1.28,-2.82,Low,No,No,No,No,No,No,2,0,0.17,1,Yes,-0.121,No,Yes,2.3,1.387,No,No,0.443,2.061
cyclokievitone,156777,Black gram,Vigna mungo,DOI: 10.22270/jddt.v9i4-s.3311,CC1(C=CC2=C(O1)C=C(C3=C2OCC(C3=O)C4=C(C=C(C=C4)O)O)O)C,C20H18O6,354.35,1,6,3,95.69,96.22,2.63,3.48,3.24,1.28,2.71,-4.5,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,0,No,0.019,No,Yes,2.743,1.262,No,No,1.135,1.314
cyclokievitone hydrate,131752226,Black gram,Vigna mungo,DOI: 10.22270/jddt.v9i4-s.3311,CC1(C(CC2=C(O1)C=C(C3=C2OCC(C3=O)C4=C(C=C(C=C4)O)O)O)O)C,C20H20O7,372.37,1,7,4,96.54,116.45,2.36,2.56,2.24,0.55,2.04,-4.02,High,No,No,No,No,No,Yes,0,0,0.55,0,Yes,-0.038,No,Yes,2.612,1.466,No,No,0.928,1.602
daidzein,5281708,Black gram,Vigna mungo,DOI: 10.22270/jddt.v9i4-s.3311,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,C15H10O4,254.24,1,4,2,71.97,70.67,1.77,2.47,2.87,1.08,2.24,-3.53,High,Yes,Yes,No,No,Yes,Yes,0,0,0.55,0,Yes,0.713,No,No,2.46,1.896,No,No,1.537,1.476
Delphinidin,68245,Black gram,Vigna mungo,DOI: 10.22270/jddt.v9i4-s.3311,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O.[Cl-],C15H11ClO7,338.7,1,7,6,84.05,134.52,-5.53,1.22,-0.38,0.03,-0.98,-3.16,High,No,No,No,No,No,No,1,0,0.55,1,Yes,0.444,No,No,2.179,1.598,No,No,0.866,2.157
