Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(+)-diasyringaresinol,11796268,Nirgundi,Vitex negundo,PMID: 17260284,COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C(=C4)OC)O)OC,C22H26O8,418.44,6,8,2,107.89,95.84,3.52,2.23,2.56,0.56,2.33,-3.74,High,No,No,No,No,Yes,No,0,0,0.55,0,No,-0.404,No,No,2.019,1.51,No,No,0.325,1.697
(+)-lyoniresinol,11711453,Nirgundi,Vitex negundo,PMID: 17260284,COC1=CC(=CC(=C1O)OC)C2C(C(CC3=CC(=C(C(=C23)OC)O)OC)CO)CO,C22H28O8,420.45,7,8,4,110.31,117.84,2.92,1.99,2.04,0.56,2.04,-3.53,High,No,No,No,No,Yes,No,0,0,0.55,0,No,0.418,No,Yes,2.082,1.777,No,No,0.298,2.465
"1,1,3-Triethoxypropane",24624,Nirgundi,Vitex negundo,PMID: 17260284,CCOCCC(OCC)OCC,C9H20O3,176.25,8,3,0,48.63,27.69,3.0,1.4,1.81,1.14,1.83,-1.29,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.713,No,No,1.969,2.14,No,Yes,0.192,1.917
"10, 13-octadecadiynoic acid, methyl ester",28962,Nirgundi,Vitex negundo,PMID: 17260284,CCCCC#CCC#CCCCCCCCCC(=O)OC,C19H30O2,290.44,11,2,0,91.06,26.3,4.33,7.08,5.03,4.7,5.44,-5.38,High,Yes,Yes,No,No,No,No,1,0,0.55,0,No,-0.262,No,No,1.484,2.655,No,Yes,1.804,-1.11
"12-bromo-13-hydroxy-2,5,9,13-tetramethyltetradeca-4,8-dienoic acid, methyl ester",5367610,Nirgundi,Vitex negundo,PMID: 17260284,CC(CC=C(C)CCC=C(C)CCC(C(C)(C)O)Br)C(=O)OC,C19H33BrO3,389.37,11,3,1,102.85,46.53,4.62,5.45,5.17,4.16,4.96,-4.96,High,Yes,No,Yes,Yes,Yes,No,1,0,0.55,0,No,0.176,No,No,2.117,2.179,No,Yes,1.629,-1.005
"2,3-dihydrothiophene 1,1-dioxide",14497,Nirgundi,Vitex negundo,PMID: 17260284,C1CS(=O)(=O)C=C1,C4H6O2S,118.15,0,2,0,27.72,42.52,0.86,0.07,1.4,-0.11,0.56,-0.62,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.019,No,No,2.35,2.09,No,Yes,-1.124,2.43
"2,4-pentadien-1-ol, 3-propyl-, (2Z)",5364724,Nirgundi,Vitex negundo,PMID: 17260284,CCCC(=CCO)C=C,C8H14O,126.2,4,1,1,40.78,20.23,2.14,2.43,1.89,1.97,2.04,-1.89,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.813,No,No,1.738,1.849,No,Yes,-0.029,1.511
"2-methyl-4-(2,6,6-trimethylcyclohex-1-enyl)but-2-en-1-ol",5369482,Nirgundi,Vitex negundo,PMID: 17260284,CC1=C(C(CCC1)(C)C)CC=C(C)CO,C14H24O,208.34,3,1,1,67.25,20.23,2.94,3.48,3.84,3.3,3.49,-3.13,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.373,No,No,1.715,1.222,No,Yes,1.466,0.834
3beta -acetoxyolean-12-en-27-oic acid,44411975,Nirgundi,Vitex negundo,PMID: 17260284,CC(=O)OC1CCC2(C(C1(C)C)CCC3(C2CC=C4C3(CCC5(C4CC(CC5)(C)C)C)C(=O)O)C)C,C32H50O4,498.74,3,4,1,146.39,63.6,4.19,8.26,7.8,6.06,6.54,-7.94,Low,No,No,No,Yes,No,No,1,4,0.85,0,No,0.258,No,No,2.287,1.806,No,No,0.285,-2.922
"4,9-decadienoic acid, 2-nitro-, ethyl ester",5466561,Nirgundi,Vitex negundo,PMID: 17260284,CCOC(=O)C(CC=CCCCC=C)[N+](=O)[O-],C12H19NO4,241.28,10,4,0,68.24,72.12,2.34,3.4,2.5,1.58,2.2,-2.82,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.301,No,No,2.23,0.702,No,Yes,1.335,0.218
