Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
3′-Hydroxygenistein,5281801,Grape,Vitis vinifera,PMID: 36140883,C1=CC(=C(C=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.86,2.53,2.28,-0.03,1.73,-3.71,High,No,Yes,No,No,Yes,Yes,0,0,0.55,1,No,0.542,No,No,2.428,2.144,No,No,0.318,2.678
3-Feruloylquinic acid,10133609,Grape,Vitis vinifera,PMID: 36140883,COC1=C(C=CC(=C1)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)O)O,C17H20O9,368.34,6,9,5,87.97,153.75,1.47,-0.1,-0.45,-0.81,0.01,-1.84,Low,No,No,No,No,No,No,0,1,0.11,0,No,1.285,No,No,2.025,4.485,No,No,0.285,4.876
3-Hydroxyphloretin 2′-O-glucoside,102068587,Grape,Vitis vinifera,PMID: 36140883,C1=CC(=C(C=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O)O,C21H24O11,452.41,7,11,8,108.17,197.37,0.68,0.47,-0.5,-1.91,-0.32,-2.76,Low,No,No,No,No,No,No,2,1,0.17,1,No,0.574,No,No,2.478,4.525,No,No,0.285,7.267
3-O-Methylgallic acid,19829,Grape,Vitis vinifera,PMID: 36140883,COC1=CC(=CC(=C1O)O)C(=O)O,C8H8O5,184.15,2,5,3,43.94,86.99,1.26,0.71,0.8,0.18,0.65,-1.64,High,No,No,No,No,No,No,0,0,0.56,1,No,0.926,No,No,2.244,2.531,No,No,0.285,2.946
3-Sinapoylquinic acid,72193657,Grape,Vitis vinifera,PMID: 36140883,COC1=CC(=CC(=C1O)OC)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)O,C18H22O10,398.36,7,10,5,94.46,162.98,1.64,-0.13,-0.44,-1.07,0.0,-1.92,Low,No,No,No,No,No,No,0,1,0.11,0,No,0.862,No,No,1.994,3.807,No,No,0.285,5.242
4-Hydroxybenzaldehyde,126,Grape,Vitis vinifera,PMID: 36140883,C1=CC(=CC=C1C=O)O,C7H6O2,122.12,1,2,1,33.85,37.3,0.99,1.35,1.2,0.79,1.17,-1.87,High,Yes,No,No,No,No,No,0,3,0.55,0,No,1.248,No,No,1.902,2.635,No,Yes,-0.133,1.883
7-Oxomatairesinol,157009746,Grape,Vitis vinifera,PMID: 36140883,COC1=C(C=CC(=C1)CC2COC(=O)C2C(=O)C3=CC(=C(C=C3)O)OC)O,C20H20O7,372.37,6,7,2,96.55,102.29,2.32,2.88,2.33,1.02,2.31,-3.9,High,No,No,No,No,No,Yes,0,0,0.55,0,No,0.134,No,No,1.908,2.253,No,No,0.328,0.925
Arbutin,440936,Grape,Vitis vinifera,PMID: 36140883,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,C12H16O7,272.25,3,7,5,62.61,119.61,1.07,-1.35,-1.43,-1.49,-0.88,-0.71,High,No,No,No,No,No,No,0,1,0.55,0,No,0.485,No,No,1.641,3.497,No,No,0.285,4.286
caffeic acid,689043,Grape,Vitis vinifera,PMID: 36140883,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Caffeoyl tartaric acid,6440397,Grape,Vitis vinifera,PMID: 36140883,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O,C13H12O9,312.23,7,9,5,70.6,161.59,0.55,0.06,-0.56,-0.7,-0.23,-1.55,Low,No,No,No,No,No,No,0,1,0.11,1,No,0.926,No,No,2.174,4.227,No,No,0.285,4.872
Carnosic acid,65126,Grape,Vitis vinifera,PMID: 36140883,CC(C)C1=C(C(=C2C(=C1)CCC3C2(CCCC3(C)C)C(=O)O)O)O,C20H28O4,332.43,2,4,3,95.43,77.76,2.93,4.89,4.32,3.25,3.87,-5.03,High,No,No,No,Yes,No,No,0,0,0.56,1,No,0.345,No,No,2.891,1.972,No,No,0.285,-0.627
Catechin,9064,Grape,Vitis vinifera,PMID: 36140883,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
catechol,289,Grape,Vitis vinifera,PMID: 36140883,C1=CC=C(C(=C1)O)O,C6H6O2,110.11,0,2,2,30.49,40.46,1.13,0.88,1.1,0.79,0.97,-1.63,High,Yes,No,No,No,No,Yes,0,3,0.55,1,No,-0.017,No,No,2.14,2.313,No,Yes,0.105,2.194
chlorogenic acid,1794427,Grape,Vitis vinifera,PMID: 36140883,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Chrysoeriol 7-O-glucoside,11294177,Grape,Vitis vinifera,PMID: 36140883,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O,C22H22O11,462.4,5,11,6,112.6,179.28,2.66,1.79,0.06,-1.89,0.61,-3.86,Low,No,No,No,No,No,Yes,2,0,0.17,0,No,0.59,No,Yes,2.567,4.308,No,No,0.285,4.631
Cinnamic acid,444539,Grape,Vitis vinifera,PMID: 36140883,C1=CC=C(C=C1)C=CC(=O)O,C9H8O2,148.16,2,2,1,43.11,37.3,1.55,2.13,1.68,1.9,1.79,-2.37,High,Yes,No,No,No,No,No,0,2,0.85,0,No,1.11,No,No,2.094,2.651,No,No,0.247,1.719
Cirsilineol,162464,Grape,Vitis vinifera,PMID: 36140883,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)O,C18H16O7,344.32,4,7,2,91.44,98.36,3.07,3.4,2.9,0.17,2.53,-4.33,High,No,Yes,No,Yes,Yes,Yes,0,0,0.55,0,No,0.275,No,No,2.263,1.933,No,No,0.34,1.706
