Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
24-Methyldesmosterol,193567,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,CC(CCC(=C(C)C)C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H46O,398.66,4,1,1,127.95,20.23,4.89,8.71,7.7,6.43,6.84,-7.54,Low,No,No,No,Yes,No,No,1,2,0.55,0,No,-0.782,No,Yes,2.212,0.843,No,No,0.605,-1.481
27-hydroxywithanone,21574483,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,CC1=C(C(=O)OC(C1)C(C)C2(CCC3C2(CCC4C3C5C(O5)C6(C4(C(=O)C=CC6)C)O)C)O)CO,C28H38O7,486.6,3,7,3,128.69,116.59,3.3,2.35,2.47,1.95,2.7,-4.14,High,No,No,No,No,No,No,0,2,0.55,0,No,-1.124,No,No,3.314,1.653,No,No,0.288,2.108
Anaferine,443143,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,C1CCNC(C1)CC(=O)CC2CCCCN2,C13H24N2O,224.34,4,3,2,74.01,41.13,2.78,0.78,0.86,1.34,1.64,-1.46,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.132,No,No,2.483,0.833,No,Yes,0.14,2.062
Anagyrine,5351589,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,C1CCN2CC3CC(C2C1)CN4C3=CC=CC4=O,C15H20N2O,244.33,0,2,0,75.86,25.24,2.6,1.56,1.44,2.38,1.92,-2.58,High,Yes,No,No,No,Yes,No,0,0,0.55,0,No,0.011,No,No,2.549,0.89,Yes,No,0.811,1.78
Beta-Sitosterol,222284,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,414.71,6,1,1,133.23,20.23,4.79,9.34,8.02,6.73,7.19,-7.9,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.621,No,Yes,2.552,0.855,No,No,0.43,-1.802
Campesterol,173183,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,C28H48O,400.68,5,1,1,128.42,20.23,4.92,8.8,7.63,6.54,6.9,-7.54,Low,No,No,No,No,No,No,1,2,0.55,0,No,-0.458,No,Yes,2.08,0.892,No,No,0.631,-1.94
Catechin,9064,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Coagulin Q,162623730,Ashwagandha,Withania somnifera,DOI: 10.1371/journal.pone.0275432,CC1=C(C(=O)OC(C1)C(C)(C2CCC3C2(CCC4C3CCC5=CC(CC(C45C)O)OC6C(C(C(C(O6)CO)O)O)O)C)O)C,C34H52O10,620.77,5,10,6,161.86,166.14,3.55,2.47,2.12,1.25,2.21,-4.91,Low,No,No,No,No,No,No,2,3,0.17,0,No,-1.509,No,Yes,2.736,2.641,No,No,0.285,2.056
Cuscohygrine,1201543,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,CN1CCCC1CC(=O)CC2CCCN2C,C13H24N2O,224.34,4,3,0,74.2,23.55,3.09,1.0,0.76,1.34,1.59,-1.6,High,Yes,No,No,No,No,No,0,0,0.55,0,No,0.093,No,No,2.385,0.799,No,Yes,0.291,2.072
Fucosterol,5281328,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,CC=C(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H48O,412.69,5,1,1,132.75,20.23,5.06,8.85,7.94,6.62,7.07,-7.64,Low,No,No,No,No,No,No,1,3,0.55,0,No,-0.653,No,Yes,2.553,0.89,No,No,0.432,-1.711
Gentamicin,3467,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,C21H43N5O7,477.6,7,12,8,118.31,199.73,3.17,-4.1,-3.33,-2.92,-2.15,0.24,Low,No,No,No,No,No,No,2,2,0.17,0,No,0.188,No,No,2.559,2.763,No,No,0.285,6.242
Kaempferol ,5280863,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,286.24,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,1.58,-3.31,High,No,Yes,No,No,Yes,Yes,0,0,0.55,0,No,0.531,No,No,2.449,2.505,No,No,0.312,2.885
o-Coumaric acid,637540,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,C1=CC=C(C(=C1)C=CC(=O)O)O,C9H8O3,164.16,2,3,2,45.13,57.53,1.09,2.03,1.38,1.28,1.4,-2.37,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.132,No,No,2.192,2.534,No,No,0.32,1.607
Oleanolic acid ,10494,Ashwagandha,Withania somnifera,DOI: 10.1016/j.arabjc.2024.105772,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,C30H48O3,456.7,1,3,2,136.65,57.53,3.89,7.49,7.23,5.82,6.06,-7.32,Low,No,No,No,No,No,No,1,3,0.85,0,No,0.203,No,No,2.349,2.085,Yes,No,0.285,-0.823
