Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"1,8-Cineole ",2758,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1(C2CCC(O1)(CC2)C)C,C10H18O,154.25,0,1,0,47.12,9.23,2.58,2.74,2.74,2.45,2.67,-2.52,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.553,No,No,2.01,2.029,No,Yes,0.171,1.735
1-alpha-Phellandrene,442482,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1=CCC(C=C1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.64,3.21,3.16,3.27,2.97,-2.64,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.754,No,No,1.741,2.328,No,No,0.638,0.942
alpha-Fenchol ,439711,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1(C2CCC(C2)(C1O)C)C,C10H18O,154.25,0,1,1,46.6,20.23,2.42,3.17,2.19,2.45,2.5,-2.79,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.5,No,No,1.662,1.89,No,Yes,0.303,1.634
alpha-Pinene ,6654,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1=CCC2CC1C2(C)C,C10H16,136.23,0,0,0,45.22,0.0,2.63,4.48,3.0,4.29,3.44,-3.51,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.48,No,No,1.77,2.262,No,No,0.45,1.159
alpha-Terpinene,7462,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1=CC=C(CC1)C(C)C,C10H16,136.23,1,0,0,47.12,0.0,2.7,4.25,3.31,3.27,3.3,-3.3,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.756,No,No,1.766,2.394,No,No,0.627,0.906
alpha-Terpineol ,17100,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1=CCC(CC1)C(C)(C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.51,3.39,2.5,2.3,2.58,-2.87,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.886,No,No,1.923,1.945,No,Yes,0.008,1.8
alpha-Thujene ,17868,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1=CCC2(C1C2)C(C)C,C10H16,136.23,1,0,0,45.22,0.0,2.67,2.85,3.0,4.29,3.15,-2.41,Low,Yes,No,No,No,No,No,1,1,0.55,0,No,0.353,No,No,1.589,2.243,No,No,0.597,0.995
alpha-Thujone,261491,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1C2CC2(CC1=O)C(C)C,C10H16O,152.23,1,1,0,45.9,17.07,2.27,2.27,2.26,2.3,2.35,-2.15,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.493,No,No,1.618,1.934,No,Yes,0.48,1.13
beta-Cymene ,10812,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1=CC(=CC=C1)C(C)C,C10H14,134.22,1,0,0,45.99,0.0,2.52,4.5,3.12,4.47,3.58,-3.89,Low,Yes,No,No,No,Yes,No,1,1,0.55,0,No,0.896,No,No,1.83,2.339,No,Yes,0.446,0.794
beta-Pinene,14896,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1(C2CCC(=C)C1C2)C,C10H16,136.23,0,0,0,45.22,0.0,2.59,4.16,3.0,4.29,3.42,-3.31,Low,Yes,No,No,Yes,No,No,1,1,0.55,0,No,0.371,No,No,1.673,2.28,No,No,0.628,1.012
beta-Terpineol ,8748,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC(=C)C1CCC(CC1)(C)O,C10H18O,154.25,1,1,1,48.8,20.23,2.41,2.52,2.5,2.3,2.44,-2.32,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.886,No,No,1.923,1.945,No,Yes,-0.027,1.859
Camphor ,2537,Nepal Pepper,Zanthoxylum armatum,"IPC code; Int. cl. (2011.01)- A61K 36/758, A23L 1/221",CC1(C2CCC1(C(=O)C2)C)C,C10H16O,152.23,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.37,-2.16,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.473,No,No,1.653,1.981,No,Yes,0.233,1.458
