Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
"2,4,6-Trihydroxybenzoic acid",66520,Maize,Zea mays L.,PMID: 27561370,C1=C(C=C(C(=C1O)C(=O)O)O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.18,1.84,0.5,-0.16,0.43,-2.36,High,No,No,No,No,No,Yes,0,2,0.56,0,No,0.923,No,No,2.141,3.191,No,No,0.285,2.904
3′-Methoxyhirsutrin,74982343,Maize,Zea mays L.,PMID: 27561370,CCC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)OC)O)O)O,C23H24O11,476.43,5,11,6,118.27,179.28,3.22,1.71,1.18,-1.4,1.13,-3.89,Low,No,No,No,No,No,Yes,2,0,0.17,0,No,0.548,No,Yes,2.623,2.753,No,No,0.285,4.34
Caffeic acid,689043,Maize,Zea mays L.,PMID: 22082063,C1=CC(=C(C=C1C=CC(=O)O)O)O,C9H8O4,180.16,2,4,3,47.16,77.76,0.97,1.15,1.09,0.7,0.93,-1.89,High,No,No,No,No,No,No,0,0,0.56,1,No,1.145,No,No,2.383,2.092,No,No,0.293,2.246
Catechin,9064,Maize,Zea mays L.,PMID: 22082063,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,290.27,1,6,5,74.33,110.38,1.47,0.36,1.22,0.24,0.85,-2.22,High,No,No,No,No,No,No,0,0,0.55,1,No,0.438,No,No,2.428,2.5,No,No,0.347,3.585
Chlorogenic acid,1794427,Maize,Zea mays L.,PMID: 22082063,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,354.31,5,9,6,83.5,164.75,0.96,-0.42,-0.75,-1.05,-0.38,-1.62,Low,No,No,No,No,No,No,1,1,0.11,1,No,-0.134,No,No,1.973,2.982,No,No,0.285,5.741
Cyanidin-3-(6”-malonylglucoside),443915,Maize,Zea mays L.,PMID: 27561370,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O)O)O)O)O,C24H23O14+,535.43,8,14,8,124.61,236.81,-2.88,-0.15,0.41,-1.89,-1.31,-2.85,Low,No,No,No,No,No,No,3,1,0.17,1,No,0.43,No,No,2.501,3.517,No,No,0.285,7.461
Cyanidin-3-glucoside,197081,Maize,Zea mays L.,PMID: 27561370,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O.[Cl-],C21H21ClO11,484.84,4,11,8,114.15,193.44,-4.82,0.94,-2.61,-1.54,-1.99,-3.53,Low,No,No,No,No,No,No,2,2,0.17,1,No,0.562,No,Yes,2.547,4.362,No,No,0.285,6.937
Ferulic acid,445858,Maize,Zea mays L.,PMID: 22082063,COC1=C(C=CC(=C1)C=CC(=O)O)O,C10H10O4,194.18,3,4,2,51.63,66.76,1.62,1.51,1.39,1.0,1.36,-2.11,High,Yes,No,No,No,No,No,0,0,0.85,0,No,1.082,No,No,2.282,2.065,No,No,0.271,1.825
Gallic acid,370,Maize,Zea mays L.,PMID: 22082063,C1=C(C=C(C(=C1O)O)O)C(=O)O,C7H6O5,170.12,1,5,4,39.47,97.99,0.21,0.7,0.5,-0.16,0.21,-1.64,High,No,No,No,No,No,Yes,0,2,0.56,1,No,0.7,No,No,2.218,3.06,No,No,0.285,3.188
Hesperidin,10621,Maize,Zea mays L.,PMID: 22082063,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,C28H34O15,610.56,7,15,8,141.41,234.29,2.6,-0.14,-1.48,-3.04,-0.72,-3.28,Low,No,No,No,No,No,No,3,4,0.17,0,No,0.525,No,Yes,2.506,3.167,No,No,0.285,7.131
