Compound Name,PubChem Id,Common Name,Scientific Name,References,SMILES,Formula,MW,Rotatable bonds,H-bond acceptors,H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Consensus Log P,Log S,GI absorption,BBB permeant,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Lipinski violations,Ghose violations,Bioavailability Score,PAINS alerts,AMES Toxicity,Max. Tolerated Dose(human),hERG I Inhibitor,hERG II Inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,T.Pyriformis Toxicity,Minnow Toxicity
(E)-2-decenal,5283345,Ginger,Zingiber officinale,DOI: 10.1080/10412905.2004.9698692,CCCCCCCC=CC=O,C10H18O,154.25,7,1,0,49.91,17.07,2.67,3.69,3.1,2.59,3.04,-2.66,High,Yes,No,No,No,No,No,0,1,0.55,0,No,0.418,No,No,1.673,2.201,No,Yes,1.438,0.493
(E)‐beta‐ocimene,5281553,Ginger,Zingiber officinale,DOI: 10.1080/10412905.2004.9698692,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
(E)-gamma-bisabolene,5352437,Ginger,Zingiber officinale,DOI: 10.1080/10412905.2004.9698692,CC1=CCC(=C(C)CCC=C(C)C)CC1,C15H24,204.35,3,0,0,70.68,0.0,3.57,6.33,5.18,4.53,4.85,-4.9,Low,No,Yes,No,Yes,No,No,1,0,0.55,0,No,0.361,No,No,1.641,1.376,No,Yes,1.832,0.004
"(E,E)‐farnesol  ",445070,Ginger,Zingiber officinale,DOI: 10.1080/10412905.2004.9698692,CC(=CCCC(=CCCC(=CCO)C)C)C,C15H26O,222.37,7,1,1,73.96,20.23,3.71,5.42,4.4,3.86,4.32,-4.17,High,Yes,Yes,No,Yes,No,No,0,0,0.55,0,No,0.096,No,No,1.558,1.208,No,Yes,2.328,0.1
"(E,Z)‐farnesol  ",1549109,Ginger,Zingiber officinale,DOI: 10.1080/10412905.2004.9698692,CC(=CCCC(=CCCC(=CCO)C)C)C,C15H26O,222.37,7,1,1,73.96,20.23,3.71,5.42,4.4,3.86,4.32,-4.17,High,Yes,Yes,No,Yes,No,No,0,0,0.55,0,No,0.096,No,No,1.558,1.208,No,Yes,2.328,0.1
(Z)-beta-ocimene,5320250,Ginger,Zingiber officinale,DOI: 10.1080/10412905.2004.9698692,CC(=CCC=C(C)C=C)C,C10H16,136.23,3,0,0,48.76,0.0,2.8,4.26,3.48,3.56,3.4,-3.17,Low,Yes,No,No,No,No,No,0,1,0.55,0,No,0.636,No,No,1.636,2.427,No,No,0.792,0.784
(Z)‐lanceol,15560069,Ginger,Zingiber officinale,DOI: 10.1080/10412905.2004.9698692,CC1=CCC(CC1)C(=C)CCC=C(C)CO,C15H24O,220.35,5,1,1,71.84,20.23,3.23,3.96,4.01,3.46,3.71,-3.37,High,Yes,No,No,Yes,No,No,0,0,0.55,0,No,0.467,No,No,1.687,1.179,No,Yes,1.895,0.415
(Z)‐nerolidol  ,5356544,Ginger,Zingiber officinale,DOI: 10.1080/10412905.2004.9698692,CC(=CCCC(=CCCC(C)(C=C)O)C)C,C15H26O,222.37,7,1,1,74.0,20.23,3.64,4.83,4.4,3.86,4.19,-3.8,High,Yes,Yes,No,Yes,No,No,0,0,0.55,0,No,0.253,No,No,1.58,1.187,No,Yes,2.284,0.158
"(Z,E)farnesol  ",1549108,Ginger,Zingiber officinale,DOI: 10.1080/10412905.2004.9698692,CC(=CCCC(=CCCC(=CCO)C)C)C,C15H26O,222.37,7,1,1,73.96,20.23,3.71,5.42,4.4,3.86,4.32,-4.17,High,Yes,Yes,No,Yes,No,No,0,0,0.55,0,No,0.096,No,No,1.558,1.208,No,Yes,2.328,0.1
"(Z,Z)farnesol ",1549107,Ginger,Zingiber officinale,DOI: 10.1080/10412905.2004.9698692,CC(=CCCC(=CCCC(=CCO)C)C)C,C15H26O,222.37,7,1,1,73.96,20.23,3.71,5.42,4.4,3.86,4.32,-4.17,High,Yes,Yes,No,Yes,No,No,0,0,0.55,0,No,0.096,No,No,1.558,1.208,No,Yes,2.328,0.1
